Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
1,1,16,385,ธรรมดา,1001,กรุงเทพ,3023,ชุมทางฉะเชิงเทรา,Bangkok,Chachoengsao Junction,FALSE
1,2,0,998,เร็ว,3047,บ้านพลูตาหลวง,1001,กรุงเทพ,Ban Plu Ta Luang,Bangkok,FALSE
1,2,1,380,ธรรมดา,3015,หัวตะเข้,1001,กรุงเทพ,Hua Takhe,Bangkok,FALSE
1,2,2,384,ธรรมดา,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,3,372,ธรรมดา,3066,ปราจีนบุรี,1001,กรุงเทพ,Prachin Buri,Bangkok,FALSE
1,2,4,388,พิเศษชานเมือง,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,5,378,ธรรมดา,3015,หัวตะเข้,1001,กรุงเทพ,Hua Takhe,Bangkok,FALSE
1,2,7,278,ธรรมดา,3075,กบินทร์บุรี,1001,กรุงเทพ,Kabin Buri,Bangkok,FALSE
1,2,8,280,ธรรมดา,3130,ด่านพรมแดนบ้านคลองลึก,1001,กรุงเทพ,Ban Klong Luk Border,Bangkok,FALSE
1,2,9,368,ธรรมดา,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,10,390,พิเศษชานเมือง,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,11,282,ธรรมดา,3075,กบินทร์บุรี,1001,กรุงเทพ,Kabin Buri,Bangkok,FALSE
1,2,12,284,ธรรมดา,3047,บ้านพลูตาหลวง,1001,กรุงเทพ,Ban Plu Ta Luang,Bangkok,FALSE
1,2,13,286,ธรรมดา,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,14,276,ธรรมดา,3130,ด่านพรมแดนบ้านคลองลึก,1001,กรุงเทพ,Ban Klong Luk Border,Bangkok,FALSE
1,2,15,386,ธรรมดา,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
1,2,16,394,ธรรมดา,3023,ชุมทางฉะเชิงเทรา,1001,กรุงเทพ,Chachoengsao Junction,Bangkok,FALSE
2,1,0,9075,ด่วน,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,TRUE
2,1,0,9071,ด่วน,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,TRUE
2,1,1,423,ท้องถิ่น,2246,ลำชี,2261,สำโรงทาบ,Lam Chi,Samrong Thap,FALSE
2,1,2,425,ท้องถิ่น,2246,ลำชี,2290,อุบลราชธานี,Lam Chi,Ubon Ratchathani,FALSE
2,1,3,339,ชานเมือง,1001,กรุงเทพ,2011,ชุมทางแก่งคอย,Bangkok,Kaeng Khoi Junction,FALSE
2,1,4,21,ด่วนพิเศษ,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,5,421,ท้องถิ่น,2114,นครราชสีมา,2290,อุบลราชธานี,Nakhon Ratchasima,Ubon Ratchathani,FALSE
2,1,6,135,เร็ว,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,7,231,ธรรมดา,1001,กรุงเทพ,2114,นครราชสีมา,Bangkok,Nakhon Ratchasima,FALSE
2,1,8,71,ด่วน,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,9,419,ท้องถิ่น,2114,นครราชสีมา,2290,อุบลราชธานี,Nakhon Ratchasima,Ubon Ratchathani,FALSE
2,1,10,233,ธรรมดา,1001,กรุงเทพ,2248,สุรินทร์,Bangkok,Surin,FALSE
2,1,11,427,ท้องถิ่น,2114,นครราชสีมา,2290,อุบลราชธานี,Nakhon Ratchasima,Ubon Ratchathani,FALSE
2,1,12,145,เร็ว,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,13,341,ชานเมือง,1001,กรุงเทพ,2011,ชุมทางแก่งคอย,Bangkok,Kaeng Khoi Junction,FALSE
2,1,14,343,ชานเมือง,1001,กรุงเทพ,2011,ชุมทางแก่งคอย,Bangkok,Kaeng Khoi Junction,FALSE
2,1,15,139,เร็ว,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,16,23,ด่วนพิเศษ CNR,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,16,67,ด่วน,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,FALSE
2,1,18,141,เร็ว,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,TRUE
2,1,19,143,เร็ว,1001,กรุงเทพ,2290,อุบลราชธานี,Bangkok,Ubon Ratchathani,TRUE
2,1,20,431,ท้องถิ่น,2011,ชุมทางแก่งคอย,2163,ขอนแก่น,Kaeng Khoi Junction,Khon Kaen,FALSE
2,1,21,433,ท้องถิ่น,2011,ชุมทางแก่งคอย,2136,ชุมทางบัวใหญ่,Kaeng Khoi Junction,Bua Yai Junction,FALSE
2,1,22,137,เร็ว,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,TRUE
2,1,23,415,ท้องถิ่น,2114,นครราชสีมา,2305,ตลาดหนองคาย,Nakhon Ratchasima,Talat Nong Khai,FALSE
2,1,24,75,ด่วน,1001,กรุงเทพ,2195,อุดรธานี,Bangkok,Udon Thani,FALSE
2,1,25,439,ท้องถิ่น,2011,ชุมทางแก่งคอย,2136,ชุมทางบัวใหญ่,Kaeng Khoi Junction,Bua Yai Junction,FALSE
2,1,26,417,ท้องถิ่น,2114,นครราชสีมา,2195,อุดรธานี,Nakhon Ratchasima,Udon Thani,FALSE
2,1,27,437,ท้องถิ่น,2011,ชุมทางแก่งคอย,2033,ลำนารายณ์,Kaeng Khoi Junction,Lam Narai,FALSE
2,1,28,429,ท้องถิ่น,2114,นครราชสีมา,2136,ชุมทางบัวใหญ่,Nakhon Ratchasima,Bua Yai Junction,FALSE
2,1,29,77,ด่วน,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,TRUE
2,1,30,133,เร็ว,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,FALSE
2,1,31,69,ด่วน,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,TRUE
2,1,32,235,ธรรมดา,2248,สุรินทร์,2246,ลำชี,Surin,Lam Chi,FALSE
2,1,33,25,ด่วนพิเศษ CNR,1001,กรุงเทพ,2209,หนองคาย,Bangkok,Nong Khai ,FALSE
2,2,0,9076,ด่วน,2209,หนองคาย,1001,กรุงเทพ,Nong Khai ,Bangkok,TRUE
2,2,0,9072,ด่วน,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,TRUE
2,2,1,144,เร็ว,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,TRUE
2,2,2,142,เร็ว,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,TRUE
2,2,3,74,ด่วน,2273,ศรีสะเกษ,1001,กรุงเทพ,Si Sa Ket,Bangkok,TRUE
2,2,4,24,ด่วนพิเศษ CNR,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,4,68,ด่วน,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,5,140,เร็ว,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,TRUE
2,2,6,344,ชานเมือง,2011,ชุมทางแก่งคอย,1001,กรุงเทพ,Kaeng Khoi Junction,Bangkok,FALSE
2,2,7,342,ชานเมือง,2011,ชุมทางแก่งคอย,1001,กรุงเทพ,Kaeng Khoi Junction,Bangkok,FALSE
2,2,8,424,ท้องถิ่น,2261,สำโรงทาบ,2114,นครราชสีมา,Samrong Thap,Nakhon Ratchasima,FALSE
2,2,9,340,ชานเมือง,2011,ชุมทางแก่งคอย,1001,กรุงเทพ,Kaeng Khoi Junction,Bangkok,FALSE
2,2,10,428,ท้องถิ่น,2290,อุบลราชธานี,2114,นครราชสีมา,Ubon Ratchathani,Nakhon Ratchasima,FALSE
2,2,11,234,ธรรมดา,2248,สุรินทร์,1001,กรุงเทพ,Surin,Bangkok,FALSE
2,2,12,72,ด่วน,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,13,136,เร็ว,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,14,426,ท้องถิ่น,2290,อุบลราชธานี,2114,นครราชสีมา,Ubon Ratchathani,Nakhon Ratchasima,FALSE
2,2,15,422,ท้องถิ่น,2290,อุบลราชธานี,2246,ลำชี,Ubon Ratchathani,Lam Chi,FALSE
2,2,16,146,เร็ว,2290,อุบลราชธานี,1001,กรุงเทพ,Ubon Ratchathani,Bangkok,FALSE
2,2,17,420,ท้องถิ่น,2290,อุบลราชธานี,2246,ลำชี,Ubon Ratchathani,Lam Chi,FALSE
